List of Rectangle Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Lengths: 4 x 2
Number of Blockers | Ratio
11 | 1.0
12 | 1.1638469605030874
13 | 1.0
14 | 1.1431107419961668
15 | 1.0
16 | 1.1274342357353604
17 | 1.0
18 | 1.115181297249034
19 | 1.0
20 | 1.105352979032356
21 | 1.0
22 | 1.09730496295386
23 | 1.0
24 | 1.0906030823332056
25 | 1.0
26 | 1.0849441458654534
27 | 1.0
28 | 1.08011004626798
29 | 1.0
30 | 1.0759399002400691
31 | 1.0
32 | 1.0723124633468786
33 | 1.0
34 | 1.0691346554582761
35 | 1.0
36 | 1.0663338555551758
37 | 1.0
38 | 1.0638525965940404
39 | 1.0
40 | 1.0616448315461466
41 | 1.0
42 | 1.059673253502982
43 | 1.0
44 | 1.0579073385201954
45 | 1.0
46 | 1.0563218937995946
47 | 1.0
48 | 1.054895965486899
49 | 1.0
50 | 1.0536120065115242
51 | 1.0
52 | 1.0524552352323149
53 | 1.0
54 | 1.0514131359783323
55 | 1.0
56 | 1.0504750664288431
57 | 1.0
58 | 1.0496319463725265
59 | 1.0
60 | 1.048876009130198
61 | 1.0
62 | 1.048200601730419
63 | 1.0
64 | 1.0476000233946932
65 | 1.0
66 | 1.0470693944211897
67 | 1.0
68 | 1.0466045494265601
69 | 1.0
70 | 1.0462019503027742
71 | 1.0
72 | 1.0458586153013179
73 | 1.0
74 | 1.0455720614633528
75 | 1.0
76 | 1.0453402582378541
77 | 1.0
78 | 1.045161590618369
79 | 1.0
80 | 1.0450348305181227
81 | 1.0
82 | 1.0449591154190707
83 | 1.0
84 | 1.04493393359315


Side Lengths: 16 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.6176470588235294
3 | 1.0
4 | 1.4579295154185021
5 | 1.0
6 | 1.3504811250925242
7 | 1.0
8 | 1.2919234190061346
9 | 1.0
10 | 1.2578685361212487
11 | 1.0
12 | 1.237971562655303
13 | 1.0
14 | 1.227410614021781
15 | 1.0
16 | 1.2241001931397943


Side Lengths: 16 x 4
Number of Blockers | Ratio
1 | 1.0
2 | 1.6818181818181819
3 | 1.0
4 | 1.4420410009044318
5 | 1.0
6 | 1.3198474533309095
7 | 1.0
8 | 1.2538334298515499
9 | 1.0
10 | 1.213216772648613
11 | 1.0
12 | 1.1860151770245537
13 | 1.0
14 | 1.1667585731051422
15 | 1.0
16 | 1.1526189527110535
17 | 1.0
18 | 1.1419939605300429
19 | 1.0
20 | 1.1339133923616955
21 | 1.0
22 | 1.1277608892827424
23 | 1.0
24 | 1.123132050078956
25 | 1.0
26 | 1.1197572487878482
27 | 1.0
28 | 1.117457703211726
29 | 1.0
30 | 1.1161198600568252
31 | 1.0
32 | 1.1156806557278798


Side Lengths: 16 x 6
Number of Blockers | Ratio
1 | 1.0
2 | 1.7040816326530612
3 | 1.0
4 | 1.435744392159127
5 | 1.0
6 | 1.3104214911002845
7 | 1.0
8 | 1.2431569685474946
9 | 1.0
10 | 1.2015457689647997
11 | 1.0
12 | 1.1733800516159496
13 | 1.0
14 | 1.1531304624221748
15 | 1.0
16 | 1.1379377629602856
17 | 1.0
18 | 1.126176350004088
19 | 1.0
20 | 1.1168545179282794
21 | 1.0
22 | 1.1093335388382368
23 | 1.0
24 | 1.103184011517202
25 | 1.0
26 | 1.0981071471454358
27 | 1.0
28 | 1.0938891639472603
29 | 1.0
30 | 1.0903736246507478
31 | 1.0
32 | 1.087444004800272
33 | 1.0
34 | 1.0850123522317363
35 | 1.0
36 | 1.0830117117977718
37 | 1.0
38 | 1.0813909568434097
39 | 1.0
40 | 1.080111207521525
41 | 1.0
42 | 1.0791433275519429
43 | 1.0
44 | 1.078466177694991
45 | 1.0
46 | 1.0780654200611266
47 | 1.0
48 | 1.0779327421325695


Side Lengths: 16 x 8
Number of Blockers | Ratio
1 | 1.0
2 | 1.7153846153846153
3 | 1.0
4 | 1.432429758607044
5 | 1.0
6 | 1.305878983282231
7 | 1.0
8 | 1.2381475729437088
9 | 1.0
10 | 1.196179428406503
11 | 1.0
12 | 1.1676877810174437
13 | 1.0
14 | 1.1471210732509207
15 | 1.0
16 | 1.1316093424048403
17 | 1.0
18 | 1.119520437699474
19 | 1.0
20 | 1.1098579773059212
21 | 1.0
22 | 1.10197945537728
23 | 1.0
24 | 1.0954520988501544
25 | 1.0
26 | 1.0899738723578924
27 | 1.0
28 | 1.0853276920149402
29 | 1.0
30 | 1.0813536306095675
31 | 1.0
32 | 1.0779313757173552
33 | 1.0
34 | 1.0749687858496022
35 | 1.0
36 | 1.0723942087600982
37 | 1.0
38 | 1.0701511957374836
39 | 1.0
40 | 1.068194784959222
41 | 1.0
42 | 1.0664888381041795
43 | 1.0
44 | 1.065004099836344
45 | 1.0
46 | 1.0637167635008824
47 | 1.0
48 | 1.0626073979564752
49 | 1.0
50 | 1.0616601365895453
51 | 1.0
52 | 1.0608620599175278
53 | 1.0
54 | 1.0602027235801872
55 | 1.0
56 | 1.0596737974807082
57 | 1.0
58 | 1.059268791586016
59 | 1.0
60 | 1.058982850843351
61 | 1.0
62 | 1.058812606741829
63 | 1.0
64 | 1.058756076862172


Side Lengths: 16 x 10
Number of Blockers | Ratio
1 | 1.0
2 | 1.7222222222222223
3 | 1.0
4 | 1.430390391669049
5 | 1.0
6 | 1.3032099335147873
7 | 1.0
8 | 1.2352408141987772
9 | 1.0
10 | 1.193096040059034
11 | 1.0
12 | 1.1644495316793702
13 | 1.0
14 | 1.143737562918829
