List of Square Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Length: 0
Number of Blockers | Ratio


Side Length: 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.0


Side Length: 4
Number of Blockers | Ratio
3 | 1.6209641823740009
4 | 2.1763700445937726
5 | 1.4981212438158638
6 | 1.7628837196029965
7 | 1.427399162755855
8 | 1.7224654176761995
9 | 1.3812798683749232
10 | 1.55803440125237
11 | 1.348366998015212
12 | 1.5511577957227107
13 | 1.323466098617644
14 | 1.4583374129466835
15 | 1.3038526475128422
16 | 1.4601374063690762
17 | 1.2879447198852438
18 | 1.3985116368552917
19 | 1.2747532591141684
20 | 1.4033420480126861
21 | 1.263624284410329
22 | 1.3584297080548176
23 | 1.2541060137522668
24 | 1.364499336609415
25 | 1.2458751695139894
26 | 1.3297200952628856
27 | 1.2386936517210627
28 | 1.3363507030436568
29 | 1.232381823233616
30 | 1.3082417741733394
31 | 1.2268013721103526
32 | 1.315152772540588
33 | 1.2218439433934591
34 | 1.291699514904835
35 | 1.2174233786319628
36 | 1.29877383440633
37 | 1.2134702850656724
38 | 1.2787149751657514
39 | 1.209928151853658
40 | 1.2859100439410378
41 | 1.2067505192429244
42 | 1.2684103936126494
43 | 1.203898880219195
44 | 1.2757206086875177
45 | 1.2013411017877247
46 | 1.2602019574333505
47 | 1.1990502214680885
48 | 1.2676417463906853
49 | 1.1970035191369606
50 | 1.2536889794759527
51 | 1.1951817939705216
52 | 1.2612849079649093
53 | 1.1935687963093669
54 | 1.248590790676203
55 | 1.192150778112133
56 | 1.2563779861393831
57 | 1.1909161353694062
58 | 1.2447091181142425
59 | 1.1898551227595182
60 | 1.2527299409641794
61 | 1.1889596258214539
62 | 1.2419049168479652
63 | 1.188222979582671
64 | 1.2502089450554033
65 | 1.187639825307618
66 | 1.240083868274898
67 | 1.1872059990992092
68 | 1.2487287900198372
69 | 1.1869184476818653
70 | 1.2391873871691357
71 | 1.1867751679577365
72 | 1.248240673160441


Side Length: 14
Number of Blockers | Ratio
1 | 1.75
2 | 2.4192634560906514
3 | 1.6226611226611227
4 | 2.17141111468797
5 | 1.4965700876347023
6 | 1.7577974891531725
7 | 1.4250916908207165
8 | 1.7146015040579532
9 | 1.378432198272086
10 | 1.5513797714005981
11 | 1.345038703343556
12 | 1.5421347402963201
13 | 1.3196880596835208
14 | 1.4504699226286133
15 | 1.2996434845622216
16 | 1.4500483985569297
17 | 1.2833157325101638
18 | 1.389521109591418
19 | 1.269710797646658
20 | 1.392192292577465
21 | 1.258171091898936
22 | 1.3483360267597893
23 | 1.2482420476331952
24 | 1.3522604944823309
25 | 1.2395981293932339
26 | 1.3185081612139904
27 | 1.231999328837049
28 | 1.3229743615964447
29 | 1.2252643354730834
30 | 1.2958738259575868
31 | 1.21925332196187
32 | 1.300574888599947
33 | 1.2138565217054473
34 | 1.278120120505248
35 | 1.2089864286479381
36 | 1.2829160266445496
37 | 1.2045723361298868
38 | 1.263852925510348
39 | 1.2005564289799913
40 | 1.2686794173412141
41 | 1.1968909326464412
42 | 1.2521789845983642
43 | 1.1935359974890694
44 | 1.2570086819761443
45 | 1.1904581043783873
46 | 1.2424982468179802
47 | 1.1876288464487266
48 | 1.2473226723649504
49 | 1.1850239865713523
50 | 1.2343922455919347
51 | 1.1826227198369132
52 | 1.23921301159361
53 | 1.1804070904711659
54 | 1.22756024700791
55 | 1.1783615264843605
56 | 1.2323845507164308
57 | 1.1764724650702212
58 | 1.2217808335210518
59 | 1.1747280486720502
60 | 1.2266190976018354
61 | 1.1731178766020625
62 | 1.2168878087259145
63 | 1.1716328007215127
64 | 1.2217524422381416
65 | 1.1702647563592532
66 | 1.2127545516881624
67 | 1.1690066216361557
68 | 1.2176593221284167
69 | 1.167852099860632
70 | 1.2092835602547929
71 | 1.166795620798614
72 | 1.214243313653757
73 | 1.1658322574939446
74 | 1.2063992946195787
75 | 1.1649576559898454
76 | 1.211429884471963
77 | 1.1641679758281411
78 | 1.204043187161524
79 | 1.163459839616272
80 | 1.209161538006881
81 | 1.1628302902795529
82 | 1.2021701168476997
83 | 1.1622767548775401
84 | 1.2073943841279915
85 | 1.1617970140738345
86 | 1.2007459031820136
87 | 1.1613891765195707
88 | 1.2060957118970743
89 | 1.1610516575510288
90 | 1.1997455323557475
91 | 1.160783161718042
92 | 1.2052422903082953
93 | 1.160582668757501
94 | 1.1991519284668566
95 | 1.1604494227095081
96 | 1.2048192194683132
97 | 1.1603829239460273
98 | 1.1989551488517147


Side Length: 16
Number of Blockers | Ratio
1 | 1.7777777777777777
2 | 2.437440305635148
3 | 1.623579726059065
4 | 2.1680484348419324
5 | 1.4955507631158838
6 | 1.7545371958793132
7 | 1.4236186511520283
8 | 1.7096178467399588
9 | 1.3766254553354493
10 | 1.5471804647540628
11 | 1.3429373545593215
12 | 1.5364864067816333
13 | 1.3173147005423322
14 | 1.4455625659752842
15 | 1.2970129872868157
16 | 1.4438109812156714
17 | 1.280438316645783
18 | 1.383980944027615
19 | 1.2665935840275897
20 | 1.385387689166571
21 | 1.2548189989618324
22 | 1.3421946341629585
23 | 1.2446583486155065
24 | 1.3448913057267493
25 | 1.2357848176522144
26 | 1.3117766519916232
27 | 1.2279573672141335
28 | 1.3150331107908646
29 | 1.2209938318631663
30 | 1.2885513915232207
31 | 1.214753655879713
32 | 1.2920474673774565
33 | 1.2091264371221724
34 | 1.2701978690108857
35 | 1.2040241028756518
36 | 1.2737832014463082
37 | 1.19937543121991
38 | 1.2553157939591615
39 | 1.1951221300278516
40 | 1.2589175196667146
41 | 1.1912159760580598
42 | 1.2430067316871636
43 | 1.1876166913729402
44 | 1.2465898902914239
45 | 1.184290342622249
46 | 1.2326659484975613
47 | 1.1812081176163942
48 | 1.2362150565651302
49 | 1.1783453784541653
50 | 1.2238704904764612
51 | 1.1756809202752703
52 | 1.2273804182301498
53 | 1.1731963848992137
54 | 1.2163151301924757
55 | 1.1708757925280495
56 | 1.2197863657610117
57 | 1.168705164434019
58 | 1.2097737994474218
59 | 1.166672216474623
60 | 1.2132099025906473
61 | 1.1647661082605378
62 | 1.2040753681377165
63 | 1.1629772364334687
64 | 1.2074815676252757
65 | 1.1612970631883712
66 | 1.1990878826231863
67 | 1.159717973169293
68 | 1.2024702936773997
69 | 1.1582331533692145
70 | 1.194707993033429
71 | 1.1568364918043685
72 | 1.1980731814047252
73 | 1.1555224916069606
74 | 1.1908536732074397
75 | 1.154286197854862
76 | 1.194208418002608
77 | 1.15312313498192
78 | 1.1874590926169666
79 | 1.1520292530241922
80 | 1.190810265571065
81 | 1.151000881282338
82 | 1.1844709318601452
83 | 1.1500346882385504
84 | 1.1878254461822104
85 | 1.1491276467727631
86 | 1.181845689234997
87 | 1.1482770038887908
88 | 1.1852104908942058
89 | 1.147480254295202
90 | 1.1795476821219475
91 | 1.1467351172947742
92 | 1.18292976773037
93 | 1.1460395165254844
94 | 1.177547544890068
95 | 1.1453915621691386
96 | 1.180953996959028
97 | 1.1447895353041044
98 | 1.1758210880234476
99 | 1.1442318741286555
100 | 1.1792591223524787
101 | 1.1437171618230986
102 | 1.174348424559071
103 | 1.14324411585372
104 | 1.1778254469814182
105 | 1.1428115785508932
106 | 1.1731132977021828
107 | 1.1424185088184375
108 | 1.1766369689957767
109 | 1.1420639748523291
110 | 1.1721025624893293
111 | 1.141747147764774
112 | 1.175680871339247
113 | 1.1414672960250438
114 | 1.1713057876253927
115 | 1.1412237806417396
116 | 1.174947132317683
117 | 1.141016051022696
118 | 1.170714953053967
119 | 1.14084364145884
120 | 1.1744282332333285
121 | 1.140706168187255
122 | 1.170324225683576
123 | 1.1406033269966886
124 | 1.174118946114969
125 | 1.1405348913459346
126 | 1.1701298008201526
127 | 1.1405007109721288
128 | 1.1740161897295271


Side Length: 18
Number of Blockers | Ratio
1 | 1.8
2 | 2.450134770889488
3 | 1.6241106904925504
4 | 2.165676722620026
5 | 1.4948475919936148
6 | 1.75232189196454
7 | 1.422620128376712
8 | 1.7062545073288526
9 | 1.3754051797233928
10 | 1.5443540659659538
11 | 1.341522515798762
12 | 1.5327042880623027
13 | 1.3157218373877426
14 | 1.442284036516414
15 | 1.295253376768339
16 | 1.4396673532669415
17 | 1.2785200522420355
18 | 1.3803079647429057
19 | 1.264522650285152
20 | 1.3809038016212496
21 | 1.252599894943917
22 | 1.3381552329431947
23 | 1.2422944771487265
24 | 1.3400757219069668
25 | 1.2332787419369329
26 | 1.3073852651273075
27 | 1.225310987305437
28 | 1.309888123280188
29 | 1.2182085102071671
30 | 1.2838148571122538
31 | 1.2118303090834661
32 | 1.2865715583855473
33 | 1.2060656045528455
34 | 1.2651181723067164
35 | 1.2008259988842327
36 | 1.2679721826582246
37 | 1.1960399854936536
38 | 1.249891494661064
39 | 1.1916490191425915
40 | 1.2527651251999696
41 | 1.1876046483762226
42 | 1.2372337692106874
43 | 1.183866386818841
44 | 1.2400881055850004
45 | 1.1804001084484277
46 | 1.2265381195953577
47 | 1.1771768209842886
48 | 1.2293543037858292
49 | 1.1741717164465444
50 | 1.2173797387365122
51 | 1.1713634278093314
52 | 1.2201496557366858
53 | 1.1687334409003836
54 | 1.2094517194118717
55 | 1.1662656246435241
56 | 1.2121731314566615
57 | 1.1639458525040078
58 | 1.202526410495166
59 | 1.161761694932578
60 | 1.2052003175601778
61 | 1.159702167597554
62 | 1.196431142155855
63 | 1.1577575238337956
64 | 1.1990603093814436
65 | 1.1559190824205836
66 | 1.1910324241613468
67 | 1.1541790837997534
68 | 1.1936205443414074
69 | 1.1525305693499135
70 | 1.1862253413035082
71 | 1.1509672794752863
72 | 1.1887765537186965
73 | 1.1494835671431727
74 | 1.1819262463084537
75 | 1.148074324180215
76 | 1.1844448604912132
77 | 1.146734918163938
78 | 1.1780676074032972
79 | 1.1454611381586164
80 | 1.1805579470544532
81 | 1.1442491478701684
82 | 1.174594300615831
83 | 1.1430954450534596
84 | 1.1770606189834185
85 | 1.1419968262121665
86 | 1.1714608931911368
87 | 1.1409503557975338
88 | 1.1739073313571757
89 | 1.1399533392467223
90 | 1.1686296209450735
91 | 1.1390032993105736
92 | 1.1710601919904065
93 | 1.1380979552097714
94 | 1.1660688604690777
95 | 1.1372352042314866
96 | 1.168487449230266
97 | 1.1364131054388775
98 | 1.1637519601174076
99 | 1.1356298652156906
100 | 1.1661623322725394
101 | 1.1348838244096822
102 | 1.1616563350819533
103 | 1.1341734468731728
104 | 1.164062151742102
105 | 1.133497309228039
106 | 1.1597627595656195
107 | 1.1328540917068102
108 | 1.1621675950499801
109 | 1.1322425699421035
110 | 1.1580548079550714
111 | 1.131661607594028
112 | 1.1604621693633677
113 | 1.1311101497199885
114 | 1.1565184099866541
115 | 1.1305872168039024
116 | 1.1589317577723237
117 | 1.130091899372624
118 | 1.1551414941133524
119 | 1.129623353136597
120 | 1.1575642632374714
121 | 1.1291807945997008
122 | 1.1539136998570176
123 | 1.1287634970900982
124 | 1.156349321346645
125 | 1.1283707871698194
126 | 1.1528261446862804
127 | 1.1280020413859513
128 | 1.1552780675820005
129 | 1.1276566833307715
130 | 1.1518712344436532
131 | 1.1273341809820665
132 | 1.1543429482311183
133 | 1.1270340442982836
134 | 1.1510425089270464
135 | 1.1267558230461574
136 | 1.1535375666265348
137 | 1.126499104841102
138 | 1.1503345161673662
139 | 1.1262635133829664
140 | 1.152856558317079
141 | 1.1260487068718452
142 | 1.149742710413964
143 | 1.125854376590446
144 | 1.1522954902359726
145 | 1.1256802456411854
146 | 1.1492633699700805
147 | 1.1255260678276346
148 | 1.1518507800589306
149 | 1.1253916266712976
150 | 1.1488935319019349
151 | 1.1252767345558825
152 | 1.1515196328297568
153 | 1.1251812319923609
154 | 1.148630941343886
155 | 1.1251049869991006
156 | 1.1512999926365857
157 | 1.1250478945923204
158 | 1.1484740136870926
159 | 1.125009876382984
160 | 1.151190507697564
161 | 1.124990880277088
162 | 1.1484218084072617


Side Length: 20
Number of Blockers | Ratio
1 | 1.8181818181818181
2 | 2.4593395761458847
3 | 1.624433313075416
4 | 2.1639468213302355
5 | 1.4943430088624916
6 | 1.7507477061419943
7 | 1.4219116274494459
8 | 1.7038749596033842
9 | 1.374541362022564
10 | 1.542358020192972
11 | 1.3405230853410495
12 | 1.5300427019453375
13 | 1.314599109323456
14 | 1.4399803689815787
15 | 1.294015899998677
16 | 1.4367669824372507
17 | 1.2771740919833874
18 | 1.3777405046918283
19 | 1.2630729619532763
20 | 1.3777823428777347
21 | 1.251050174124367
22 | 1.3353466188893133
23 | 1.240647641017064
24 | 1.3367419387278208
25 | 1.2315371151789067
26 | 1.3043485064980507
27 | 1.2234764303307517
28 | 1.3063464623641843
29 | 1.2162825106709743
30 | 1.280557666584921
31 | 1.2098140490895342
32 | 1.2828239343054866
33 | 1.2039600111744533
34 | 1.261644963776067
35 | 1.1986317829029403
36 | 1.2640188181467604
37 | 1.1937576716063416
38 | 1.2462044344074261
39 | 1.189278969855021
40 | 1.2486050014678431
41 | 1.1851470831347524
42 | 1.2333333811269043
43 | 1.1813213974893737
44 | 1.2357192255939113
45 | 1.1777676719505499
46 | 1.2224236566216187
47 | 1.174456809679288
48 | 1.2247738552519867
49 | 1.1713639067296535
50 | 1.213049421328199
51 | 1.1684675072496042
52 | 1.215354115529288
53 | 1.165749014193282
54 | 1.2049028933179224
55 | 1.163192218583092
56 | 1.2071583332537736
57 | 1.160782920137704
58 | 1.1977556528609117
59 | 1.1585086190284741
60 | 1.1999614950559228
61 | 1.156358263527897
62 | 1.1914343329504213
63 | 1.1543220419589333
64 | 1.193592122341717
65 | 1.1523912100415319
66 | 1.1858047933342535
67 | 1.150557946735229
68 | 1.1879170920230235
69 | 1.1488152331836816
70 | 1.1807614982639623
71 | 1.1471567505116493
72 | 1.1828313785307858
73 | 1.145576793101885
74 | 1.17622019601952
75 | 1.1440701946567797
76 | 1.1782509437686255
77 | 1.1426322648768212
78 | 1.172112755938496
79 | 1.1412587350012555
80 | 1.1741076981629153
81 | 1.1399457107825852
82 | 1.16838345208608
83 | 1.1386896317257045
84 | 1.170345858539802
85 | 1.1374872356296162
86 | 1.1649862393178205
87 | 1.136335527636192
88 | 1.1669192690427466
89 | 1.135231753125035
90 | 1.1618827241151752
91 | 1.134173373902867
92 | 1.163789399211467
93 | 1.133158047225159
94 | 1.159040630791183
95 | 1.1321836072610003
96 | 1.1609238267091204
97 | 1.131248048672573
98 | 1.1564326267597187
99 | 1.1303495120305815
100 | 1.1582950725130332
101 | 1.1294862708285274
102 | 1.1540354119874197
103 | 1.128656719893378
104 | 1.1558796961954334
105 | 1.1278593650192021
106 | 1.1518290054864362
107 | 1.1270928136747655
108 | 1.1536575856992037
109 | 1.1263557666566433
110 | 1.1497961806165
111 | 1.125647010576849
112 | 1.1516113943426278
113 | 1.1249654110887612
114 | 1.1479220140692965
115 | 1.124309906767736
116 | 1.1497260905343143
117 | 1.1236795035735587
118 | 1.146193522626843
119 | 1.1230732698311023
120 | 1.1479885946757586
121 | 1.1224903316734984
122 | 1.1445993683611768
123 | 1.1219298688989356
124 | 1.1463874841645343
125 | 1.1213911111981123
126 | 1.1431296176933554
127 | 1.1208733347144557
128 | 1.1449127520728488
129 | 1.1203758589036688
130 | 1.1417755432030992
131 | 1.1198980436630077
132 | 1.1435556084925917
133 | 1.119439286704058
134 | 1.1405294596480289
135 | 1.1189990211457133
136 | 1.1423083160690524
137 | 1.1185767133066382
138 | 1.139384587569293
139 | 1.118171860678744
140 | 1.141164053139785
141 | 1.1177839900652051
142 | 1.1383349393068254
143 | 1.117412655868282
144 | 1.140116799326448
145 | 1.1170574385137688
146 | 1.1373752233484495
147 | 1.1167179430002498
148 | 1.1391612395187873
149 | 1.1163937975625562
150 | 1.1365007637823246
151 | 1.1160846524399002
152 | 1.1382926830292173
153 | 1.1157901787401072
154 | 1.1357074322766272
155 | 1.1155100673922391
156 | 1.1375069953472197
157 | 1.1152440281806435
158 | 1.1349915905210417
159 | 1.1149917888541623
160 | 1.1368005404314139
161 | 1.114753094304838
162 | 1.1343500414662648
163 | 1.1145277058110041
164 | 1.1361701318778288
165 | 1.114315400340146
166 | 1.1337799880160733
167 | 1.1141159699073584
168 | 1.135612991621005
169 | 1.1139292209856366
170 | 1.1332789980807991
171 | 1.1137549739645956
172 | 1.1351267150791495
173 | 1.1135930626545523
174 | 1.1328449751058585
175 | 1.1134433338331988
176 | 1.134709241860037
177 | 1.1133056468323825
178 | 1.132476133355365
179 | 1.1131798731627465
180 | 1.1343588313117143
181 | 1.1130658961742357
182 | 1.1321709773673243
183 | 1.1129636107506657
184 | 1.1340740423397868
185 | 1.1128729230367753
186 | 1.1319282851100725
187 | 1.1127937501963405
188 | 1.133853717027739
189 | 1.1127260202001297
190 | 1.1317470944646615
191 | 1.1126696716426117
192 | 1.1336969676935593
193 | 1.11262465358651
194 | 1.1316266927389371
195 | 1.1125909254344175
196 | 1.133603167099061
197 | 1.1125684568268386
198 | 1.1315666089894036
199 | 1.1125572275661582
200 | 1.1335719416010859


Side Length: 22
Number of Blockers | Ratio
1 | 1.8333333333333333
2 | 2.4662212323682255
3 | 1.6246370975294537
4 | 2.162648761497715
5 | 1.4939690520279654
6 | 1.7495887482112429
7 | 1.4213905124768798
8 | 1.7021282755795675
9 | 1.3739070276847594
10 | 1.5408947231381012
11 | 1.339790270732108
12 | 1.5280964151647813
13 | 1.3137771724610767
14 | 1.4382976390819056
15 | 1.2931114050334975
16 | 1.4346541733241067
17 | 1.2761919069502994
18 | 1.3758719877091548
19 | 1.2620168343280604
20 | 1.3755172388923378
21 | 1.2499230658211304
22 | 1.3333102577117284
23 | 1.2394519380877311
24 | 1.3343321969367778
25 | 1.2302747664989158
26 | 1.3021551332042574
27 | 1.2221490433632074
28 | 1.3037965958064734
29 | 1.2148914199323082
30 | 1.2782142282199624
31 | 1.2083603665184413
32 | 1.2801366408377173
33 | 1.2024446640842756
34 | 1.2591560143118832
35 | 1.1970555431638086
36 | 1.2611956099675576
37 | 1.1921211784766992
38 | 1.2435729233003407
39 | 1.18758274811452
40 | 1.2456465459814947
41 | 1.1833915576746479
42 | 1.2305611105865524
43 | 1.1795069051872182
44 | 1.2326255479807826
45 | 1.175894471431918
46 | 1.219511565316836
47 | 1.1725250894134516
48 | 1.2215444671072564
49 | 1.169373791795696
50 | 1.2099977695618387
51 | 1.1664190650298212
52 | 1.2119881005239528
53 | 1.163642259192378
54 | 1.2017113886280606
55 | 1.1610271165283346
56 | 1.203654406106024
57 | 1.1585593914825727
58 | 1.1944235377145551
59 | 1.1562265419574957
60 | 1.1963180430145623
61 | 1.1540174765412208
62 | 1.1879604472653393
63 | 1.1519223461003139
64 | 1.1898072346847195
65 | 1.1499323708217173
66 | 1.182187619663277
67 | 1.1480396957934746
68 | 1.1839885810179365
69 | 1.1462372697227432
70 | 1.1769991946467429
71 | 1.1445187425356496
72 | 1.1787567940985104
73 | 1.1428783784816405
74 | 1.172310619802085
75 | 1.1413109820432412
76 | 1.174027583353498
77 | 1.1398118344800539
78 | 1.1680534807954077
79 | 1.138376639249726
80 | 1.1697326128416408
81 | 1.1370014748753057
82 | 1.164171779792228
83 | 1.135682754087934
84 | 1.1658158560919651
85 | 1.1344171882812712
86 | 1.1606192073600927
87 | 1.1332017564808035
88 | 1.1622309144952887
89 | 1.1320336781659786
90 | 1.1573571099229445
91 | 1.1309103893926422
92 | 1.158939013222725
93 | 1.1298295217526897
94 | 1.1543529531473014
95 | 1.1287888837812148
96 | 1.155907482052841
97 | 1.127786444481929
98 | 1.1515791447986377
99 | 1.1268203186916719
100 | 1.1531085888454462
101 | 1.125888754046438
102 | 1.1490121220739113
103 | 1.1249901193460692
104 | 1.1505186332301125
105 | 1.1241228941438322
106 | 1.1466316361840008
107 | 1.1232856594115468
108 | 1.1481172348691777
109 | 1.12247708915155
110 | 1.144420185890123
111 | 1.1216959428442372
112 | 1.1458867689930519
113 | 1.1209410586347266
114 | 1.142362564816823
115 | 1.1202113471748367
116 | 1.1438119146592072
117 | 1.1195057860473256
118 | 1.1404454965927402
119 | 1.1188234147085963
120 | 1.1418792901868857
121 | 1.1181633298939937
122 | 1.1386573384529237
123 | 1.1175246814366695
124 | 1.1400771566580499
125 | 1.1169066684568814
126 | 1.1369878386920476
127 | 1.1163085358837117
128 | 1.13839517503872
129 | 1.1157295712756239
130 | 1.135427936834516
131 | 1.1151691019101362
132 | 1.136824205892285
133 | 1.1146264921162516
134 | 1.1339695979571913
135 | 1.1141011408262251
136 | 1.1353561431877999
137 | 1.1135924793258265
138 | 1.1326056745195356
139 | 1.113099969184504
140 | 1.133983775600393
141 | 1.112623100348854
142 | 1.1313297905028457
143 | 1.1121613893845392
144 | 1.1327006701315783
145 | 1.1117143778533431
146 | 1.130136243761049
147 | 1.11128163081342
148 | 1.1315010739674511
149 | 1.1108627354319964
150 | 1.1290199233300537
151 | 1.110457299700862
152 | 1.1303798313304405
153 | 1.110064951245935
154 | 1.127976239095762
155 | 1.1096853362230372
156 | 1.12933231272899
157 | 1.1093181182927694
158 | 1.127001061729726
159 | 1.1089629776680532
160 | 1.1283543545156387
161 | 1.1086196102285077
162 | 1.1260906712007293
163 | 1.1082877266963747
164 | 1.1274422070615664
165 | 1.1079670518691835
166 | 1.1252417124860312
167 | 1.1076573239047913
168 | 1.126592490170117
169 | 1.107358293654818
170 | 1.1244511573567895
171 | 1.107069724042855
172 | 1.1258021546020778
173 | 1.1067913894841397
174 | 1.1237162713128033
175 | 1.1065230753436803
176 | 1.12506844878587
177 | 1.1062645774300728
178 | 1.1230345849031262
179 | 1.106015701522485
180 | 1.1243888899472
181 | 1.1057762629285015
182 | 1.1224038687997053
183 | 1.1055460860707154
184 | 1.1237612390234213
185 | 1.105325004100125
186 | 1.121822112097469
187 | 1.1051128585345587
188 | 1.1231834788342985
189 | 1.104909498920497
190 | 1.1212875034011982
191 | 1.1047147825167911
192 | 1.1226537950680002
193 | 1.1045285739989004
194 | 1.1207984143309857
195 | 1.1043507451823884
196 | 1.122170559712877
197 | 1.1041811747645074
198 | 1.1203533851371639
199 | 1.1040197480828058
200 | 1.1217323166249236
201 | 1.1038663568897777
202 | 1.119951112164674
203 | 1.1037208991426435
204 | 1.1213377689701998
205 | 1.1035832788074398
206 | 1.119590436947884
207 | 1.1034534056766456
208 | 1.1209857683228075
209 | 1.1033311951996532
210 | 1.1192703367513361
211 | 1.1032165683254338
212 | 1.1206753052337903
213 | 1.1031094513568127
214 | 1.1189899164010735
215 | 1.1030097758158108
216 | 1.1204055011158
217 | 1.102917478319566
218 | 1.1187484012760385
219 | 1.1028325004663755
220 | 1.1201756013135225
221 | 1.1027547887314615
222 | 1.1185451313503412
223 | 1.102684294372081
224 | 1.1199849692515051
225 | 1.1026209733416517
226 | 1.1183795561956533
227 | 1.102564786212591
228 | 1.1198330815698276
229 | 1.1025156981076023
230 | 1.1182512308691293
231 | 1.1024736786391718
232 | 1.1197195241745799
233 | 1.1024387018570663
234 | 1.118159812626518
235 | 1.1024107462036596
236 | 1.1196439891447956
237 | 1.1023897944769283
238 | 1.118105058412954
239 | 1.102375833800998
240 | 1.1196062724507578
241 | 1.1023688556041393
242 | 1.1180868230955767


Side Length: 24
Number of Blockers | Ratio
1 | 1.8461538461538463
2 | 2.4714981380693213
3 | 1.6247697944009758
4 | 2.1616510611003963
5 | 1.4936843877451773
6 | 1.748710620035791
7 | 1.4209959298580164
8 | 1.7008076305096151
9 | 1.3734272691459009
10 | 1.5397893901891815
11 | 1.3392366470856945
12 | 1.5266289917204205
13 | 1.3131569355155905
14 | 1.4370299419708974
15 | 1.2924296754440852
16 | 1.4330656854233088
17 | 1.2754525106155412
18 | 1.3744681462893165
19 | 1.2612227418942532
20 | 1.3738190742352183
21 | 1.249076648635804
22 | 1.3317845229418874
23 | 1.2385551285071177
24 | 1.3325307561854884
25 | 1.2293291639762192
26 | 1.3005163433753784
27 | 1.2211559877587268
28 | 1.301895903647512
29 | 1.2138520439711438
30 | 1.2764682730476282
31 | 1.2072756344211415
32 | 1.2781393602570246
33 | 1.2013154007080755
34 | 1.2573069763583087
35 | 1.195882456439622
36 | 1.259103524148039
37 | 1.1909048769905446
38 | 1.241623682596829
39 | 1.1863237550959216
40 | 1.2434608204178483
41 | 1.1820903222758439
42 | 1.22851369635154
43 | 1.1781638116854656
44 | 1.2303468872939236
45 | 1.174509846815977
46 | 1.2173673751552856
47 | 1.1710992096962654
48 | 1.219173215583102
49 | 1.1679068873108853
50 | 1.2077577134461264
51 | 1.1649113249087175
52 | 1.2095243099723396
